0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124
10.0,19.0,32.0,82.0,20.0,140.0,40.0,114.0,77.0,28.0,43.0,27.0,16.0,23.0,40.0,2.0,25.0,12.0,1.0,3.0,7.0,6.0,3.0,5.0,1.0,0.0,0.0,1.0,4.0,2.0,4.0,5.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,6.0,5.0,4.0,9.0,3.0,4.0,4.0,3.0,3.0,4.0,13.0,2.0,13.0,8.0,4.0,7.0,4.0,0.0,8.0,7.0,6.0,12.0,0.0,13.0,7.0,8.0,14.0,6.0,14.0,21.0,4.0,27.0,5.0,23.0,11.0,12.0,12.0,0.0,9.0,5.0,8.0,3.0,14.0,4.0,22.0,14.0,19.0,29.0,2.0,40.0,24.0,36.0,50.0,13.0,51.0,13.0,24.0,19.0,4.0,5.0,14.0,6.0,13.0,4.0,18.0,1.0,28.0,0.0,27.0
5.0,11.0,0.0,4.0,13.0,5.0,17.0,1.0,9.0,3.0,0.0,0.0,0.0,1.0,0.0,9.0,8.0,11.0,18.0,6.0,17.0,0.0,6.0,0.0,2.0,3.0,2.0,4.0,5.0,4.0,12.0,18.0,6.0,23.0,4.0,12.0,6.0,0.0,0.0,3.0,5.0,1.0,0.0,4.0,7.0,1.0,9.0,3.0,4.0,3.0,0.0,1.0,2.0,5.0,4.0,17.0,14.0,32.0,42.0,30.0,68.0,0.0,57.0,24.0,17.0,18.0,10.0,3.0,9.0,19.0,8.0,28.0,33.0,19.0,59.0,29.0,68.0,111.0,27.0,155.0,48.0,108.0,74.0,26.0,33.0,12.0,11.0,12.0,20.0,12.0,14.0,18.0,14.0,17.0,17.0,5.0,12.0,4.0,0.0,4.0,7.0,1.0,11.0,1.0,17.0,0.0,18.0,6.0,9.0,5.0,0.0,1.0,1.0,4.0,1.0,2.0,1.0,0.0,1.0,0.0,2.0,2.0,5.0,1.0,6.0
0.0,3.0,1.0,0.0,8.0,0.0,12.0,7.0,2.0,16.0,21.0,13.0,41.0,3.0,37.0,14.0,13.0,5.0,8.0,16.0,12.0,32.0,1.0,28.0,13.0,4.0,19.0,28.0,9.0,45.0,10.0,35.0,19.0,11.0,11.0,6.0,1.0,11.0,4.0,12.0,3.0,12.0,3.0,8.0,3.0,2.0,0.0,2.0,4.0,4.0,8.0,1.0,8.0,1.0,3.0,2.0,2.0,0.0,3.0,4.0,1.0,4.0,8.0,2.0,7.0,15.0,11.0,12.0,35.0,14.0,38.0,35.0,23.0,31.0,10.0,16.0,0.0,2.0,5.0,23.0,0.0,29.0,9.0,16.0,13.0,3.0,10.0,22.0,5.0,34.0,2.0,31.0,10.0,15.0,7.0,0.0,1.0,4.0,6.0,2.0,5.0,0.0,0.0,0.0,0.0,4.0,7.0,6.0,21.0,2.0,33.0,4.0,33.0,12.0,18.0,13.0,5.0,0.0,14.0,15.0,2.0,13.0,10.0,2.0,7.0
10.0,2.0,6.0,4.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,4.0,2.0,2.0,2.0,1.0,0.0,2.0,2.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,3.0,7.0,10.0,5.0,15.0,2.0,12.0,5.0,6.0,1.0,5.0,1.0,6.0,1.0,3.0,2.0,0.0,6.0,3.0,14.0,3.0,21.0,2.0,20.0,8.0,9.0,9.0,5.0,6.0,19.0,0.0,27.0,11.0,25.0,18.0,11.0,17.0,5.0,6.0,12.0,3.0,10.0,5.0,5.0,2.0,2.0,0.0,0.0,2.0,5.0,7.0,8.0,15.0,5.0,19.0,2.0,16.0,6.0,16.0,8.0,19.0,14.0,14.0,16.0,4.0,9.0,0.0,1.0,2.0,4.0,8.0,15.0,7.0,23.0,4.0,15.0,13.0,4.0,11.0,24.0,2.0,33.0,19.0,26.0,32.0,5.0,31.0,16.0,16.0,24.0,2.0,20.0
15.0,9.0,17.0,2.0,9.0,3.0,1.0,2.0,3.0,4.0,9.0,3.0,7.0,8.0,1.0,3.0,9.0,8.0,12.0,16.0,13.0,13.0,17.0,9.0,19.0,7.0,9.0,1.0,7.0,19.0,15.0,38.0,9.0,43.0,6.0,27.0,19.0,2.0,21.0,35.0,4.0,46.0,17.0,26.0,22.0,1.0,6.0,12.0,8.0,8.0,9.0,1.0,3.0,0.0,2.0,1.0,1.0,0.0,1.0,6.0,0.0,8.0,2.0,4.0,2.0,3.0,0.0,10.0,1.0,15.0,4.0,13.0,7.0,5.0,4.0,1.0,3.0,0.0,8.0,12.0,4.0,25.0,9.0,27.0,22.0,18.0,23.0,7.0,10.0,6.0,8.0,19.0,21.0,39.0,18.0,52.0,4.0,47.0,8.0,28.0,14.0,11.0,14.0,2.0,14.0,0.0,13.0,5.0,0.0,7.0,24.0,6.0,25.0,28.0,12.0,23.0,57.0,11.0,68.0,47.0,42.0,57.0,4.0,34.0,19.0
4.0,21.0,34.0,9.0,45.0,4.0,34.0,11.0,12.0,8.0,4.0,2.0,12.0,1.0,16.0,0.0,17.0,2.0,10.0,3.0,1.0,1.0,3.0,1.0,4.0,2.0,4.0,4.0,2.0,7.0,1.0,8.0,1.0,5.0,0.0,4.0,5.0,11.0,4.0,22.0,10.0,21.0,27.0,6.0,32.0,9.0,21.0,15.0,3.0,9.0,8.0,2.0,15.0,2.0,23.0,0.0,25.0,5.0,16.0,3.0,6.0,2.0,3.0,3.0,0.0,1.0,4.0,1.0,6.0,3.0,3.0,2.0,0.0,0.0,1.0,1.0,2.0,5.0,1.0,5.0,10.0,9.0,11.0,28.0,7.0,26.0,25.0,1.0,17.0,15.0,5.0,13.0,22.0,4.0,28.0,3.0,23.0,7.0,10.0,4.0,1.0,1.0,9.0,4.0,12.0,6.0,10.0,6.0,2.0,2.0,3.0,4.0,3.0,6.0,0.0,4.0,1.0,0.0,0.0,2.0,1.0,3.0,4.0,0.0,10.0
10.0,10.0,17.0,3.0,8.0,4.0,6.0,17.0,8.0,24.0,1.0,14.0,7.0,9.0,2.0,30.0,11.0,34.0,16.0,26.0,9.0,18.0,2.0,10.0,0.0,0.0,2.0,14.0,4.0,27.0,1.0,28.0,8.0,14.0,6.0,0.0,2.0,5.0,8.0,1.0,7.0,2.0,1.0,1.0,1.0,2.0,1.0,3.0,0.0,2.0,0.0,2.0,3.0,2.0,7.0,5.0,0.0,15.0,24.0,7.0,38.0,12.0,21.0,16.0,3.0,1.0,14.0,22.0,10.0,32.0,1.0,26.0,8.0,9.0,5.0,5.0,1.0,16.0,0.0,25.0,1.0,27.0,7.0,16.0,7.0,1.0,0.0,4.0,5.0,3.0,5.0,0.0,0.0,3.0,5.0,9.0,11.0,23.0,26.0,35.0,52.0,19.0,58.0,18.0,25.0,40.0,19.0,34.0,43.0,20.0,46.0,5.0,34.0,8.0,13.0,14.0,2.0,14.0,5.0,19.0,4.0,22.0,6.0,15.0,5.0
2.0,2.0,9.0,0.0,19.0,2.0,21.0,7.0,13.0,6.0,1.0,1.0,5.0,3.0,8.0,4.0,7.0,5.0,5.0,5.0,3.0,5.0,5.0,10.0,7.0,17.0,4.0,18.0,1.0,6.0,1.0,9.0,18.0,11.0,32.0,0.0,27.0,10.0,8.0,7.0,7.0,2.0,17.0,2.0,27.0,0.0,28.0,7.0,15.0,7.0,2.0,1.0,13.0,3.0,18.0,5.0,15.0,6.0,7.0,2.0,1.0,3.0,1.0,6.0,6.0,4.0,12.0,4.0,11.0,13.0,3.0,3.0,5.0,18.0,32.0,16.0,57.0,24.0,34.0,59.0,28.0,37.0,67.0,12.0,48.0,36.0,7.0,19.0,12.0,5.0,7.0,9.0,2.0,1.0,12.0,4.0,22.0,5.0,14.0,9.0,0.0,1.0,5.0,6.0,0.0,6.0,4.0,2.0,7.0,1.0,8.0,3.0,7.0,4.0,2.0,1.0,1.0,3.0,0.0,3.0,5.0,7.0,5.0,21.0,6.0
26.0,16.0,19.0,17.0,9.0,9.0,2.0,0.0,0.0,6.0,0.0,8.0,3.0,4.0,4.0,2.0,6.0,12.0,7.0,23.0,2.0,25.0,5.0,14.0,7.0,1.0,2.0,3.0,0.0,2.0,0.0,2.0,1.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0,6.0,7.0,21.0,1.0,33.0,26.0,30.0,54.0,7.0,63.0,22.0,45.0,37.0,16.0,29.0,1.0,13.0,3.0,2.0,0.0,0.0,1.0,4.0,4.0,12.0,6.0,23.0,0.0,24.0,7.0,13.0,9.0,0.0,2.0,4.0,3.0,2.0,2.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,5.0,3.0,4.0,6.0,2.0,0.0,4.0,5.0,4.0,3.0,11.0,26.0,3.0,40.0,13.0,28.0,22.0,3.0,11.0,29.0,14.0,27.0,26.0,1.0,8.0,16.0,26.0,13.0,49.0,2.0,49.0,18.0,24.0,21.0,6.0,4.0
17.0,11.0,9.0,9.0,2.0,0.0,4.0,5.0,6.0,3.0,4.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,3.0,0.0,5.0,2.0,3.0,3.0,0.0,3.0,4.0,0.0,6.0,10.0,1.0,18.0,22.0,6.0,31.0,15.0,15.0,19.0,4.0,5.0,12.0,10.0,9.0,21.0,1.0,21.0,6.0,8.0,7.0,6.0,2.0,16.0,0.0,21.0,4.0,20.0,7.0,10.0,6.0,0.0,1.0,6.0,2.0,7.0,3.0,5.0,2.0,2.0,2.0,1.0,9.0,2.0,20.0,15.0,16.0,29.0,12.0,27.0,46.0,2.0,52.0,35.0,21.0,39.0,14.0,13.0,22.0,11.0,9.0,16.0,0.0,13.0,6.0,20.0,6.0,25.0,3.0,15.0,8.0,0.0,1.0,6.0,4.0,3.0,4.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,3.0,23.0,17.0,21.0,26.0
2.0,13.0,11.0,8.0,7.0,17.0,8.0,1.0,16.0,25.0,3.0,33.0,13.0,17.0,16.0,5.0,10.0,21.0,5.0,34.0,2.0,35.0,11.0,19.0,10.0,0.0,0.0,6.0,7.0,3.0,6.0,0.0,0.0,1.0,0.0,3.0,11.0,6.0,24.0,26.0,22.0,42.0,2.0,43.0,26.0,24.0,45.0,8.0,38.0,30.0,12.0,27.0,8.0,6.0,11.0,10.0,5.0,19.0,4.0,26.0,1.0,28.0,4.0,16.0,4.0,2.0,3.0,2.0,9.0,1.0,6.0,4.0,1.0,1.0,4.0,1.0,0.0,3.0,5.0,13.0,2.0,16.0,3.0,5.0,1.0,3.0,8.0,3.0,0.0,6.0,16.0,18.0,22.0,30.0,6.0,25.0,13.0,0.0,15.0,21.0,1.0,21.0,8.0,6.0,4.0,5.0,1.0,12.0,1.0,19.0,1.0,22.0,6.0,13.0,6.0,0.0,2.0,12.0,1.0,19.0,4.0,20.0,7.0,12.0,6.0
3.0,0.0,1.0,3.0,1.0,5.0,0.0,4.0,5.0,0.0,12.0,7.0,17.0,10.0,19.0,7.0,15.0,1.0,7.0,11.0,4.0,13.0,2.0,3.0,5.0,2.0,14.0,0.0,13.0,3.0,3.0,3.0,8.0,0.0,15.0,4.0,15.0,7.0,7.0,4.0,0.0,1.0,0.0,4.0,0.0,2.0,0.0,2.0,1.0,2.0,0.0,2.0,0.0,2.0,1.0,7.0,6.0,13.0,20.0,8.0,35.0,17.0,35.0,52.0,7.0,60.0,25.0,30.0,29.0,1.0,5.0,8.0,15.0,1.0,16.0,9.0,7.0,5.0,0.0,1.0,1.0,0.0,5.0,6.0,18.0,4.0,24.0,5.0,13.0,5.0,1.0,5.0,2.0,10.0,9.0,3.0,9.0,3.0,3.0,2.0,1.0,5.0,10.0,9.0,23.0,4.0,24.0,3.0,12.0,3.0,1.0,6.0,4.0,9.0,13.0,0.0,10.0,7.0,0.0,2.0,4.0,6.0,4.0,8.0,17.0
0.0,18.0,10.0,7.0,8.0,3.0,2.0,1.0,8.0,5.0,3.0,6.0,3.0,0.0,4.0,4.0,0.0,5.0,3.0,1.0,3.0,2.0,2.0,6.0,0.0,10.0,8.0,6.0,23.0,16.0,23.0,41.0,1.0,45.0,32.0,19.0,41.0,15.0,22.0,32.0,6.0,21.0,18.0,1.0,12.0,8.0,2.0,9.0,0.0,9.0,0.0,9.0,1.0,5.0,0.0,0.0,4.0,0.0,7.0,2.0,6.0,6.0,0.0,6.0,5.0,1.0,5.0,0.0,2.0,7.0,4.0,17.0,2.0,16.0,7.0,6.0,7.0,9.0,7.0,28.0,0.0,35.0,9.0,20.0,8.0,1.0,0.0,10.0,3.0,15.0,4.0,15.0,5.0,8.0,5.0,0.0,3.0,8.0,1.0,14.0,1.0,13.0,2.0,7.0,1.0,0.0,0.0,7.0,1.0,18.0,1.0,22.0,8.0,13.0,8.0,1.0,0.0,1.0,3.0,0.0,6.0,9.0,16.0,32.0,5.0
46.0,34.0,20.0,71.0,43.0,57.0,85.0,1.0,60.0,39.0,1.0,27.0,33.0,1.0,32.0,15.0,13.0,11.0,1.0,1.0,6.0,8.0,4.0,6.0,5.0,0.0,9.0,0.0,10.0,2.0,2.0,7.0,14.0,9.0,33.0,0.0,35.0,13.0,17.0,13.0,4.0,5.0,15.0,0.0,18.0,4.0,15.0,7.0,6.0,8.0,0.0,4.0,7.0,8.0,11.0,19.0,1.0,17.0,9.0,2.0,5.0,6.0,5.0,2.0,9.0,4.0,5.0,5.0,1.0,1.0,3.0,4.0,1.0,7.0,0.0,7.0,1.0,4.0,1.0,1.0,0.0,2.0,1.0,3.0,1.0,3.0,1.0,1.0,0.0,0.0,3.0,5.0,0.0,16.0,19.0,16.0,37.0,3.0,32.0,26.0,2.0,25.0,24.0,6.0,25.0,1.0,19.0,9.0,28.0,7.0,36.0,12.0,12.0,19.0,25.0,7.0,38.0,40.0,17.0,49.0,11.0,33.0,43.0,6.0,68.0
62.0,61.0,97.0,29.0,97.0,7.0,70.0,38.0,24.0,40.0,12.0,16.0,15.0,2.0,0.0,14.0,1.0,25.0,19.0,5.0,30.0,29.0,17.0,46.0,3.0,34.0,15.0,7.0,15.0,15.0,10.0,26.0,4.0,26.0,3.0,16.0,6.0,3.0,2.0,2.0,2.0,2.0,3.0,0.0,1.0,3.0,0.0,7.0,1.0,10.0,2.0,10.0,3.0,9.0,12.0,0.0,37.0,44.0,50.0,113.0,14.0,149.0,47.0,117.0,94.0,24.0,86.0,75.0,15.0,106.0,55.0,62.0,60.0,13.0,13.0,8.0,23.0,19.0,24.0,3.0,22.0,22.0,37.0,15.0,43.0,16.0,29.0,49.0,14.0,78.0,4.0,87.0,25.0,65.0,33.0,27.0,27.0,9.0,7.0,25.0,10.0,19.0,13.0,7.0,5.0,0.0,0.0,6.0,0.0,15.0,1.0,18.0,7.0,9.0,7.0,3.0,0.0,7.0,8.0,1.0,6.0,2.0,0.0,1.0,9.0
