0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124
18.0,26.0,74.0,123.0,102.0,231.0,36.0,221.0,42.0,97.0,35.0,10.0,24.0,31.0,52.0,5.0,29.0,10.0,8.0,0.0,23.0,13.0,12.0,12.0,3.0,2.0,7.0,13.0,1.0,11.0,0.0,6.0,8.0,9.0,9.0,11.0,3.0,0.0,9.0,26.0,36.0,28.0,56.0,2.0,35.0,20.0,2.0,7.0,16.0,11.0,6.0,12.0,8.0,13.0,47.0,51.0,64.0,96.0,17.0,77.0,30.0,10.0,24.0,32.0,9.0,23.0,22.0,1.0,7.0,9.0,9.0,1.0,10.0,6.0,1.0,3.0,3.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0
5.0,1.0,1.0,0.0,2.0,4.0,0.0,3.0,2.0,0.0,2.0,2.0,1.0,4.0,0.0,4.0,0.0,2.0,0.0,0.0,2.0,2.0,2.0,3.0,0.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,4.0,4.0,3.0,6.0,0.0,3.0,1.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,4.0,6.0,4.0,7.0,2.0,11.0,6.0,26.0,28.0,35.0,53.0,22.0,52.0,2.0,25.0,2.0,0.0,7.0,6.0,13.0,0.0,9.0,4.0,0.0,2.0,4.0,1.0,2.0,18.0,18.0,63.0,76.0,86.0,138.0,39.0,125.0,23.0,26.0,10.0,66.0,62.0,67.0,96.0,9.0,53.0,19.0,8.0,1.0,29.0,20.0,12.0,17.0,4.0,0.0,4.0,10.0,3.0,6.0,5.0,0.0,0.0,2.0,3.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,3.0,4.0,3.0,3.0,2.0,1.0,0.0,0.0,2.0,0.0,3.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,4.0,2.0,2.0,3.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,3.0,5.0,2.0,5.0,0.0,2.0,1.0,2.0,0.0,3.0,3.0,1.0,2.0,0.0,0.0,1.0,2.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0
3.0,11.0,3.0,49.0,28.0,70.0,79.0,28.0,78.0,26.0,20.0,33.0,28.0,3.0,32.0,17.0,9.0,13.0,6.0,1.0,6.0,7.0,0.0,4.0,1.0,2.0,3.0,14.0,5.0,32.0,0.0,38.0,13.0,22.0,15.0,0.0,4.0,9.0,6.0,5.0,8.0,0.0,2.0,1.0,2.0,0.0,3.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,4.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,2.0,0.0,5.0,6.0,12.0,20.0,12.0,34.0,0.0,29.0,11.0,9.0,6.0,5.0,5.0,7.0,11.0,1.0,8.0,1.0,1.0,0.0,2.0,0.0,3.0,1.0,22.0,15.0,77.0,82.0,108.0,155.0,59.0,144.0,9.0,53.0,19.0,23.0,12.0,19.0,0.0,47.0,117.0,45.0
262.0,106.0,248.0,240.0,76.0,174.0,45.0,4.0,17.0,79.0,53.0,45.0,58.0,9.0,8.0,17.0,27.0,5.0,22.0,16.0,0.0,5.0,8.0,7.0,2.0,8.0,4.0,1.0,2.0,3.0,1.0,2.0,3.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,15.0,55.0,65.0,54.0,105.0,56.0,58.0,171.0,35.0,131.0,42.0,7.0,62.0,67.0,148.0,19.0,118.0,24.0,24.0,7.0,31.0,30.0,24.0,35.0,18.0,9.0,79.0,98.0,105.0,174.0,55.0,156.0,8.0,59.0,14.0,21.0,20.0,35.0,38.0,10.0,19.0,4.0,7.0,0.0,15.0,8.0,6.0,6.0,1.0,1.0,2.0,5.0,1.0,3.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,4.0,7.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,2.0,2.0,0.0,2.0,3.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,3.0,2.0,2.0,4.0,0.0,3.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,3.0,0.0,3.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,4.0,1.0,4.0,4.0,1.0,4.0,1.0,1.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0
0.0,1.0,1.0,0.0,1.0,0.0,3.0,3.0,3.0,8.0,1.0,7.0,5.0,2.0,5.0,3.0,2.0,5.0,1.0,3.0,2.0,0.0,0.0,1.0,2.0,1.0,3.0,1.0,4.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,14.0,17.0,7.0,33.0,23.0,15.0,40.0,22.0,25.0,42.0,12.0,51.0,14.0,59.0,7.0,50.0,4.0,22.0,4.0,3.0,6.0,9.0,12.0,3.0,6.0,0.0,1.0,0.0,4.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
